id,name,gender,class,midterm,final,attendance
1,王思远,男,一班,78,82,0.96
2,李佳琪,女,一班,85,88,1.00
3,张一鸣,男,一班,62,71,0.88
4,刘雨桐,女,一班,91,94,0.98
5,陈志强,男,二班,55,58,0.72
6,赵梦洁,女,二班,88,90,0.95
7,孙浩宇,男,二班,73,69,0.85
8,周雅楠,女,二班,80,86,0.92
9,吴俊杰,男,一班,67,74,0.90
10,郑晓彤,女,一班,93,89,1.00
11,冯国豪,男,二班,58,63,0.76
12,何静怡,女,二班,76,81,0.93
13,许文博,男,一班,84,79,0.97
14,曹可欣,女,一班,69,77,0.89
15,邓子豪,男,二班,90,92,0.99
16,范美玲,女,二班,72,68,0.84
17,高远航,男,一班,65,60,0.80
18,韩雪莹,女,一班,87,91,0.96
19,黄振宇,男,二班,79,83,0.91
20,蒋若涵,女,二班,83,78,0.94
21,孔祥宇,男,一班,61,66,0.82
22,雷楚楚,女,一班,95,93,1.00
23,林嘉豪,男,二班,70,75,0.87
24,马雨欣,女,二班,66,72,0.86
25,宁静远,男,一班,52,61,0.70
26,欧阳雪,女,一班,81,84,0.92
27,潘志鹏,男,二班,74,70,0.88
28,秦晓琳,女,二班,89,87,0.97
29,任建军,男,一班,63,59,0.75
30,石雨薇,女,一班,77,80,0.90
